# synthetic evidence-set management bundle
# source: synthetic
# vendor: Mixed
# platform: topology-evidence
# action: rejected-retention
# note: synthetic evidence-set management corpus

### section: unknown-local
# source: synthetic
# expected outcome: rejected_unknown_local
# rejection/status reason: rejected_unknown_local
evidence_set_id: set-011
source_label: mixed-source
current_evidence: present
active_set: loaded
accepted: false
rejected: true
added: rejected_unknown_local
replaced: false
ignored_duplicate: false
duplicate_collapsed: false
rejection_reason: rejected_unknown_local

Expected behaviour: rejected_unknown_local; exact inventory matching only; no_store_mutation when safety fails.

### section: self-link
# source: synthetic
# expected outcome: rejected_self_link
# rejection/status reason: rejected_self_link
evidence_set_id: set-011
source_label: mixed-source
current_evidence: present
active_set: loaded
accepted: false
rejected: true
added: rejected_self_link
replaced: false
ignored_duplicate: false
duplicate_collapsed: false
rejection_reason: rejected_self_link

Expected behaviour: rejected_self_link; exact inventory matching only; no_store_mutation when safety fails.

### section: stale
# source: synthetic
# expected outcome: stale_evidence
# rejection/status reason: stale_evidence
evidence_set_id: set-011
source_label: mixed-source
current_evidence: present
active_set: loaded
accepted: false
rejected: true
added: stale_evidence
replaced: false
ignored_duplicate: false
duplicate_collapsed: false
rejection_reason: stale_evidence

Expected behaviour: stale_evidence; exact inventory matching only; no_store_mutation when safety fails.

